date,time,amount,merchant,manual_detail,auto_category,rule_source,match
2026-02-17,14:46,-32058,CLAUDE.AI SUBSCRIPTION,AI,AI,rule,Y
2026-02-17,09:58,-21000,CJ CGV,문화,,,N
2026-02-16,23:40,150000,주유소티파니블루,자동차 유지,자동차 유지,rule,Y
2026-02-16,23:40,-102000,주유소티파니블루,자동차 유지,자동차 유지,rule,Y
2026-02-16,23:38,-150000,주유소티파니블루,자동차 유지,자동차 유지,rule,Y
2026-02-16,22:13,-13000,1119,식비,식비,rule,Y
2026-02-16,19:18,-300000,카카오페이,예비비,예비비,rule,Y
2026-02-16,19:17,-300000,이형선,어머니 용돈,어머니 용돈,rule,Y
2026-02-16,11:55,-32300,롯데쇼핑   롯데마트 판교점,선물,선물,rule,Y
2026-02-15,17:03,-10000,KCP_결제,자동차 유지,자동차 유지,rule,Y
2026-02-15,10:16,-13900,에스케이텔레콤 (주),통신,통신,rule,Y
2026-02-14,22:46,-9570,지에스더프레시판교운중점,식비,식비,rule,Y
2026-02-14,19:58,-15700,티머니택시(법인)_4,교통,교통,rule,Y
2026-02-14,16:55,-21800,세븐일레븐산운마을점,식비,식비,rule,Y
2026-02-14,14:51,-26000,배민페이_배민원,식비,식비,rule,Y
2026-02-14,11:15,-95870,SKT,통신,통신,rule,Y
2026-02-13,23:11,-8743,OPENAI,AI,AI,rule,Y
2026-02-13,16:29,-29000,주식회사 카카오,식비,식비,rule,Y
2026-02-13,12:10,-2400,PAYCO_오프라인,식비,식비,rule,Y
2026-02-13,08:53,-1520,주식회사 카카오모빌리티,자동차 유지,교통,rule,N
2026-02-13,04:03,2665337,급여,,,,N
2026-02-12,21:48,-19900,코레일유통동대구역,식비,식비,rule,Y
2026-02-12,21:40,-8300,코레일유통동대구역,식비,식비,rule,Y
2026-02-12,21:38,-1600,코레일유통자판기,식비,식비,rule,Y
2026-02-12,21:05,-113500,뭉돌이뭉티기,식비,식비,rule,Y
2026-02-12,18:04,-2600,KFC대구문화동,식비,식비,rule,Y
2026-02-12,17:56,-1000,짱오락실태왕3호점,예비비,예비비,rule,Y
2026-02-12,17:54,-1000,짱오락실태왕3호점,예비비,예비비,rule,Y
2026-02-12,17:54,-1000,짱오락실태왕3호점,예비비,예비비,rule,Y
2026-02-12,17:53,-1000,짱오락실태왕3호점,예비비,예비비,rule,Y
2026-02-12,17:48,-1000,짱오락실태왕3호점,예비비,예비비,rule,Y
2026-02-12,17:47,-1000,짱오락실태왕3호점,예비비,예비비,rule,Y
2026-02-12,17:46,-1000,짱오락실태왕3호점,예비비,예비비,rule,Y
2026-02-12,16:22,-18800,낭만젊음사랑,식비,식비,rule,Y
2026-02-12,15:28,-8178,OPENAI,AI,AI,rule,Y
2026-02-12,15:03,-169500,고려튼튼외과의원,건강,건강,rule,Y
2026-02-12,13:20,-5500,코레일유통서울역,식비,식비,rule,Y
2026-02-12,09:23,-3900,주식회사 카카오,식비,식비,rule,Y
2026-02-11,14:58,-17000,현대그린푸드현대자동차테크원,식비,식비,rule,Y
2026-02-11,14:22,-8520,OPENAI,AI,AI,rule,Y
2026-02-11,12:06,-9450,크린토피아 판교봇들,예비비,예비비,rule,Y
2026-02-11,01:07,-8189,OPENAI,AI,AI,rule,Y
2026-02-10,20:19,-99701,네이버파이낸셜,선물,선물,rule,Y
2026-02-10,10:58,8,프렌즈 체크카드 캐시백,,,,N
2026-02-09,19:05,-9800,올리브영서판교점,예비비,예비비,rule,Y
2026-02-09,11:50,-50000,이가현,커플통장,커플통장,rule,Y
2026-02-09,11:49,-90000,이가현,커플통장,커플통장,rule,Y
2026-02-09,11:49,-200000,박준서,,주식,rule,N
2026-02-09,11:49,200000,박준서,,주식,rule,N
2026-02-09,11:45,-60000,카카오페이,예비비,예비비,rule,Y
2026-02-08,22:01,-12100,서울시주차장,자동차 유지,자동차 유지,rule,Y
2026-02-08,11:13,-7500,틈새라면천호점,식비,식비,rule,Y
2026-02-07,23:13,-1000,테마알앤디,,,,N
2026-02-07,21:05,-600,CJCGV_상품_오프라인,식비,식비,rule,Y
2026-02-07,20:57,-13590,홈플러스야탑점,식비,식비,rule,Y
2026-02-07,20:52,-10000,홈플러스야탑점,식비,식비,rule,Y
2026-02-07,20:01,-5000,NICE_주차장,자동차유지,,,N
2026-02-07,19:49,-4500,다인산업,식비,식비,rule,Y
2026-02-07,19:48,-68500,다인산업,식비,식비,rule,Y
2026-02-07,19:07,-18500,주_에스케이플래닛_문화비,문화,예비비,rule,N
2026-02-07,13:53,-36000,다인산업,식비,식비,rule,Y
2026-02-07,09:41,-9700,맥도날드서판교DT점,식비,식비,rule,Y
2026-02-06,23:08,-16200,(주)이동의즐거움,교통,교통,rule,Y
2026-02-06,22:39,-8800,(주)이동의즐거움,교통,교통,rule,Y
2026-02-06,22:39,8800,(주)이동의즐거움,교통,교통,rule,Y
2026-02-06,20:04,-58000,가교엔터테인먼트,예비비,예비비,rule,Y
2026-02-06,17:39,-40000,다날_KIS_샵체인_키,,,,N
2026-02-06,17:17,-4300,현대백화점판교점,식비,식비,rule,Y
2026-02-06,09:46,-10500,현대그린푸드현대자동차테크원,식비,식비,rule,Y
2026-02-06,00:19,-16116,OPENAI,AI,AI,rule,Y
2026-02-05,22:34,-70000,카카오페이,예비비,예비비,rule,Y
2026-02-05,21:41,-5400,만화카페25도,식비,식비,rule,Y
2026-02-05,21:41,-10800,만화카페25도,식비,식비,rule,Y
2026-02-05,19:29,-4000,만화카페25도,식비,식비,rule,Y
2026-02-05,19:09,-6000,만화카페25도,식비,식비,rule,Y
2026-02-05,17:50,-10000,위드인사람과함께,선교 헌금,선교 헌금,rule,Y
2026-02-05,10:39,-10000,나이스페이먼츠,자동차 유지,자동차 유지,rule,Y
2026-02-05,09:02,-3500,한국정보통신,교통,교통,rule,Y
2026-02-05,08:47,1462,WWW.BRAVE.COM,,,,N
2026-02-05,08:46,-1462,WWW.BRAVE.COM,,,,N
2026-02-04,18:57,-10500,칸PC방,식비,식비,rule,Y
2026-02-04,18:55,-5000,칸PC방,식비,식비,rule,Y
2026-02-04,18:55,-5000,칸PC방,식비,식비,rule,Y
2026-02-04,17:34,-360300,주_현대이지웰,예비비,예비비,rule,Y
2026-02-04,16:57,-4500,스타벅스_주문,식비,식비,rule,Y
2026-02-04,15:59,-704046,현대카드,자동차 할부,자동차 할부,rule,Y
2026-02-04,15:59,-1953220,현대카드,,자동차 할부,rule,N
2026-02-04,15:38,-1200,세븐일레븐산운마을점,식비,식비,rule,Y
2026-02-04,12:23,-3000,이로,식비,식비,rule,Y
2026-02-04,08:50,-1060,주식회사 카카오모빌리티,자동차 유지,교통,rule,N
2026-02-03,13:10,-636000,현대자동차,,,,N
2026-02-03,13:08,836000,현대자동차,,,,N
2026-02-03,12:56,-836000,현대자동차,,,,N
2026-02-03,11:56,-12400,PAYCO_오프라인,식비,식비,rule,Y
2026-02-03,08:50,-1880,주식회사 카카오모빌리티,자동차 유지,교통,rule,N
2026-02-03,02:29,-3300,Apple,통신,예비비,rule,N
2026-02-02,21:45,-5700,GS25서판교골드점,식비,식비,rule,Y
2026-02-02,19:00,-5600,스타벅스_주문,식비,식비,rule,Y
2026-02-02,11:51,-70000,KH에너지(주)직영 판교운중주유소,자동차 유지,자동차 유지,rule,Y
2026-02-02,11:45,-49800,크린토피아 판교봇들,예비비,예비비,rule,Y
