date,time,amount,merchant,manual_detail,auto_category,rule_source,match
2025-10-31,22:58,-12000,유탑마리나호텔리조트,여수,여수,rule,Y
2025-10-31,19:07,-7000,씨유여수유탑마리나점,여수,여수,rule,Y
2025-10-31,18:50,-500,페이스토리_주차장_1,여수,여수,rule,Y
2025-10-31,18:47,-23000,멕시칸,여수,여수,rule,Y
2025-10-31,18:45,-75000,춘향골마당쇠횟집,여수,여수,rule,Y
2025-10-31,18:44,-8000,개미양념,여수,여수,rule,Y
2025-10-31,18:20,-27865,AIG10038,보험,보험,rule,Y
2025-10-31,15:33,-15500,모이핀,여수,여수,rule,Y
2025-10-31,15:32,-30000,모이핀,여수,여수,rule,Y
2025-10-31,14:58,-2000,페이스토리_주차장_1,여수,여수,rule,Y
2025-10-31,14:53,-41600,여수봄날엔,여수,여수,rule,Y
2025-10-31,14:47,-64000,순이네밥상,여수,여수,rule,Y
2025-10-31,13:00,-23500,3미여수딸기찹쌀떡,여수,여수,rule,Y
2025-10-31,10:18,232560,으뜸효율환급,,,,N
2025-10-31,01:43,-32300,티머니지하철,교통,교통,rule,Y
2025-10-31,01:43,-13450,경기시내버스,교통,교통,rule,Y
2025-10-30,21:57,-23600,씨유여수유탑마리나점,여수,여수,rule,Y
2025-10-30,18:21,-3600,노랑고래찹쌀꽈배기중앙점,여수,여수,rule,Y
2025-10-30,18:10,-62000,88한꾼에,여수,여수,rule,Y
2025-10-30,17:11,-5400,주식회사 티머니,여수,교통,rule,N
2025-10-30,17:03,5500,주식회사 티머니,,교통,rule,N
2025-10-30,17:03,-5500,주식회사 티머니,,교통,rule,N
2025-10-30,16:46,-20000,유탑마리나호텔앤리조트,여수,여수,rule,Y
2025-10-30,15:53,-48504,네이버페이,예비비,예비비,rule,Y
2025-10-30,14:46,-34400,스타벅스코리아,여수,식비,rule,N
2025-10-30,14:31,-140000,꽃돌게장1번가,여수,여수,rule,Y
2025-10-30,09:52,-9000,키다리식품(주)정안하행지점,여수,여수,rule,Y
2025-10-29,22:48,-7820,현대해상화재보험,여수,보험,rule,N
2025-10-29,19:57,-3390,주식회사 카카오모빌리티,교통,자동차 유지,rule,N
2025-10-29,12:11,-3000,이로,식비,식비,rule,Y
2025-10-29,11:34,-150000,이가현,커플통장,커플통장,rule,Y
2025-10-29,11:33,-50000,이가현,커플통장,커플통장,rule,Y
2025-10-29,08:20,-1300,주식회사 카카오모빌리티,교통,자동차 유지,rule,N
2025-10-28,17:47,-37760,이마트24판교IT센터점,식비,식비,rule,Y
2025-10-28,08:50,-5400,현대그린푸드현대자동차테크원,식비,식비,rule,Y
2025-10-28,08:25,-1520,주식회사 카카오모빌리티,교통,자동차 유지,rule,N
2025-10-27,21:57,500000,박준서,,주식,rule,N
2025-10-27,21:57,-500000,박준서,,주식,rule,N
2025-10-27,18:49,-110624,한화손10036,보험,보험,rule,Y
2025-10-27,17:58,-40553,NH손보합산납입,보험,보험,rule,Y
2025-10-27,08:52,-50000,곽훈,선교 헌금,선교 헌금,rule,Y
2025-10-27,08:21,-50000,박세연,선교 헌금,선교 헌금,rule,Y
2025-10-26,21:31,-1000,주식회사 카카오모빌리티,교통,자동차 유지,rule,N
2025-10-26,20:35,-1700,투썸플레이스_4,식비,식비,rule,Y
